issue,url,state,title,priority_label,priority_in_title,labels,milestone,assignees,last_activity,age_days,comments,lane,disposition,next_action,native_open_dependencies,native_dependency_coverage,flags,unchecked_body_items,acceptance_source,evidence_file,responsible_role,phase_activation,exit_evidence,review_date,release_rule,baseline,acceptance_items
Fortemi/fortemi#586,https://git.integrolabs.net/Fortemi/fortemi/issues/586,open,EPIC: Streaming Data Capture & Realtime Processing,P2,,P2: Medium; blocked; documentation; epic; infrastructure; security; testing,Streaming realtime phase 1,,2026-06-22T22:10:34Z,75,27,G,retain-gated,"Resolve default-mode, outbox backpressure and payload-minimization decisions; implement durable publisher/consumer semantics with bounded retention, replay and auth tests.",Fortemi/fortemi#606; Fortemi/fortemi#605; Fortemi/fortemi#604; Fortemi/fortemi#603; Fortemi/fortemi#602; Fortemi/fortemi#601; Fortemi/fortemi#600; Fortemi/fortemi#599; Fortemi/fortemi#598; Fortemi/fortemi#597; Fortemi/fortemi#596; Fortemi/fortemi#595; Fortemi/fortemi#594; Fortemi/fortemi#593,read,stale-60d; no-assignee,22,https://git.integrolabs.net/Fortemi/fortemi/issues/586,evidence/Fortemi--fortemi-issues.json,Server realtime and jobs maintainers,Phase 5 after policy decisions,"Resolve default-mode, outbox backpressure and payload-minimization decisions; implement durable publisher/consumer semantics with bounded retention, replay and auth tests. Map every original acceptance criterion to the exact delivered artifact or an explicit supersession decision.",2026-09-07,First qualified stable opportunity after prerequisites; expedited customer/security patch when justified. No phase-date promise.,audit-355,"- [ ] #906 - Measure Redis Streams Phase 1 runtime cost and decide default mode
- [ ] #915 - Outbound outbox backpressure/admission and retention guard
- [ ] #593 - Outbox-to-Redis-Stream publisher
- [ ] #594 - SSE consumer migration
- [ ] #595 - WebSocket and webhook consumer migration
- [ ] #596 - Redis Stream health metrics and consumer group monitoring
- [ ] #597 - Content/source hash exposure for incremental embedding, unblocked foundation
- [ ] #598 - Embedding freshness checks, blocked by #597
- [ ] #599 - Incremental graph linking from embedding freshness events, blocked by #597/#598 and Phase 1
- [ ] #600 - Shared inference admission/backpressure, unblocked Phase 2 optimization
- [ ] #601 - Note-event consumer for extraction work, blocked by Phase 1 and #602
- [ ] #602 - Durable coalescing for expensive derived work, blocked by Phase 1 consumers
- [ ] #603 - CDC evaluation only if outbox instrumentation proves insufficient
- [ ] #604 - Low-latency semantic search refresh, blocked by #597/#598 and Phase 1
- [ ] #605 - Drift-Adapter evaluation, blocked by embedding freshness/model-config metadata
- [ ] #606 - Streaming entity/relation graph construction, blocked/deferred behind #601/#602 and graph evaluation design
- [ ] Measure standby/idle overhead of Redis Streams + outbox publisher + consumer groups on edge hardware: RAM, CPU, Redis memory, disk/WAL/outbox growth, and process/task count (#906).
- [ ] Decide whether streaming is opt-in or opt-out for Docker/default deployments (#906).
- [ ] If opt-in, define the feature flag/env contract and prove batch mode still works with streaming disabled (#906).
- [ ] If opt-out, document why the standby cost is acceptable for edge deployments (#906).
- [ ] Define writer-side outbox backlog thresholds, oldest-age thresholds, `503 Retry-After` overload behavior, and retention cleanup before enabling outbound fan-out by default (#915).
- [ ] Distinguish service backlog overload from per-tenant/user quotas (#714), and expose backlog/admission state in #596."
Fortemi/fortemi#593,https://git.integrolabs.net/Fortemi/fortemi/issues/593,open,feat(api): implement outbox-to-Redis-Stream publisher,P1,,P1: High; area/rest-api; blocked; documentation; effort/medium; infrastructure; jobs; new-feature; security; testing,Streaming realtime phase 1,,2026-06-22T23:48:27Z,75,14,G,retain-gated,"Resolve default-mode, outbox backpressure and payload-minimization decisions; implement durable publisher/consumer semantics with bounded retention, replay and auth tests.",,read,stale-60d; no-assignee; blocked-label-without-open-native-edge,10,https://git.integrolabs.net/Fortemi/fortemi/issues/593,evidence/Fortemi--fortemi-issues.json,Server realtime and jobs maintainers,Phase 5 after policy decisions,"Resolve default-mode, outbox backpressure and payload-minimization decisions; implement durable publisher/consumer semantics with bounded retention, replay and auth tests. Map every original acceptance criterion to the exact delivered artifact or an explicit supersession decision.",2026-09-07,First qualified stable opportunity after prerequisites; expedited customer/security patch when justified. No phase-date promise.,audit-355,"- [ ] Publisher task is spawned only when the Phase 1 feature flag/default-mode decision allows it.
- [ ] Publisher reads `event_outbox` rows where `published_at IS NULL` using the current `PgEventOutboxRepository` contract or an equivalent repository method.
- [ ] Redis entries include a stable event/outbox ID, event type, entity type, entity ID, memory/scope, payload, and creation timestamp.
- [ ] `published_at` is set only after successful Redis publish.
- [ ] Crash-window tests cover: `XADD` succeeds but `published_at` update fails, DB transaction fails before mark-published, Redis unavailable, graceful shutdown during batch, and publisher restart/replay.
- [ ] Stream trimming is configured and documented so Redis retention does not silently violate SSE/WebSocket replay expectations.
- [ ] Consumer group initialization, if any, is limited to instance/worker roles and is not used to partition events among broadcast clients.
- [ ] Metrics include outbox unpublished count/oldest age, publish attempts/success/failure, duplicate/replay count if deduped, Redis stream length, and trim/replay-window state.
- [ ] Tests prove batch mode still works when outbound Redis Streams fan-out is disabled.
- [ ] #915's backlog/admission decision is implemented or explicitly accepted as a blocker before outbound Redis Streams fan-out is enabled by default."
Fortemi/fortemi#594,https://git.integrolabs.net/Fortemi/fortemi/issues/594,open,feat(api): migrate SSE handler to consume from Redis Stream,P1,,P1: High; area/rest-api; blocked; documentation; effort/medium; enhancement; infrastructure; security; testing,Streaming realtime phase 1,,2026-06-22T23:46:47Z,75,7,G,retain-gated,"Resolve default-mode, outbox backpressure and payload-minimization decisions; implement durable publisher/consumer semantics with bounded retention, replay and auth tests.",Fortemi/fortemi#593,read,stale-60d; no-assignee,11,https://git.integrolabs.net/Fortemi/fortemi/issues/594,evidence/Fortemi--fortemi-issues.json,Server realtime and jobs maintainers,Phase 5 after policy decisions,"Resolve default-mode, outbox backpressure and payload-minimization decisions; implement durable publisher/consumer semantics with bounded retention, replay and auth tests. Map every original acceptance criterion to the exact delivered artifact or an explicit supersession decision.",2026-09-07,First qualified stable opportunity after prerequisites; expedited customer/security patch when justified. No phase-date promise.,audit-355,"- [ ] SSE fan-out preserves broadcast semantics: every authorized connected client receives every matching event, not a partitioned subset.
- [ ] Type filtering is preserved (`?types=`).
- [ ] Entity filtering is preserved (`?entity_id=`).
- [ ] Memory scoping is preserved (`?memory=` / `X-Fortemi-Memory`).
- [ ] Auth is preserved (token query param / Bearer header).
- [ ] Replay via `Last-Event-ID` works against Redis Stream IDs or an explicitly mapped event id.
- [ ] Coalescing still functions for low-priority events.
- [ ] Connection metrics still track active/disconnected clients.
- [ ] Backward compatibility with existing SSE clients is preserved.
- [ ] Tests prove two simultaneous SSE clients with the same filter both receive the same event.
- [ ] Tests prove replay does not depend on another client acknowledging or consuming the event."
Fortemi/fortemi#595,https://git.integrolabs.net/Fortemi/fortemi/issues/595,open,feat(api): migrate WebSocket and webhook dispatcher to Redis Stream,P1,,P1: High; area/rest-api; blocked; documentation; effort/medium; enhancement; infrastructure; security; testing,Streaming realtime phase 1,,2026-06-22T23:46:47Z,75,7,G,retain-gated,"Resolve default-mode, outbox backpressure and payload-minimization decisions; implement durable publisher/consumer semantics with bounded retention, replay and auth tests.",Fortemi/fortemi#593,read,stale-60d; no-assignee,11,https://git.integrolabs.net/Fortemi/fortemi/issues/595,evidence/Fortemi--fortemi-issues.json,Server realtime and jobs maintainers,Phase 5 after policy decisions,"Resolve default-mode, outbox backpressure and payload-minimization decisions; implement durable publisher/consumer semantics with bounded retention, replay and auth tests. Map every original acceptance criterion to the exact delivered artifact or an explicit supersession decision.",2026-09-07,First qualified stable opportunity after prerequisites; expedited customer/security patch when justified. No phase-date promise.,audit-355,"- [ ] WebSocket fan-out preserves broadcast semantics: every authorized connected client receives every matching event, not a partitioned subset.
- [ ] WebSocket backward compatibility is preserved (payload-only for HotM where required).
- [ ] WebSocket ping/heartbeat behavior and active connection metrics are preserved.
- [ ] WebSocket auth and memory scoping match the existing route contract.
- [ ] Webhook dispatcher reads from Redis Streams using a worker-appropriate consumer group.
- [ ] Webhook event filtering (`events` array match) is preserved.
- [ ] Webhook HMAC signing is preserved.
- [ ] Webhook delivery tracking and auto-disable behavior are preserved.
- [ ] Webhook consumer group acknowledges only after durable delivery result handling.
- [ ] Pending/retry behavior is tested for dispatcher crash or timeout.
- [ ] Tests prove two simultaneous WebSocket clients receive the same matching event."
Fortemi/fortemi#596,https://git.integrolabs.net/Fortemi/fortemi/issues/596,open,feat(api): Redis Stream health metrics and consumer group monitoring,P1,,P1: High; area/rest-api; blocked; documentation; effort/medium; enhancement; infrastructure; security; testing,Streaming realtime phase 1,,2026-06-22T23:46:47Z,75,12,G,retain-gated,"Resolve default-mode, outbox backpressure and payload-minimization decisions; implement durable publisher/consumer semantics with bounded retention, replay and auth tests.",Fortemi/fortemi#593,read,stale-60d; no-assignee,10,https://git.integrolabs.net/Fortemi/fortemi/issues/596,evidence/Fortemi--fortemi-issues.json,Server realtime and jobs maintainers,Phase 5 after policy decisions,"Resolve default-mode, outbox backpressure and payload-minimization decisions; implement durable publisher/consumer semantics with bounded retention, replay and auth tests. Map every original acceptance criterion to the exact delivered artifact or an explicit supersession decision.",2026-09-07,First qualified stable opportunity after prerequisites; expedited customer/security patch when justified. No phase-date promise.,audit-355,"- [ ] Existing `/api/v1/health/streaming` includes outbound event-bus state when #593 is enabled.
- [ ] Disabled/default-off mode is explicit and does not report false unhealthy state.
- [ ] Publisher metrics cover unpublished backlog, oldest unpublished age, publish success/failure, and crash-window duplicate/replay behavior if dedupe is implemented.
- [ ] Admission metrics from #915 cover backlog thresholds, admission-open/closed state, and rejection count.
- [ ] Redis metrics cover stream length, replay-window/trim state, and first/last IDs where available.
- [ ] Consumer-group metrics cover pending count, oldest pending age, reclaim count, and ack success/failure for worker/instance groups.
- [ ] WebSocket/SSE client metrics remain broadcast/client metrics; they are not modeled as Redis consumer-group consumers.
- [ ] MCP `get_system_info` includes the same high-level enabled/mode/backlog/health status without high-cardinality labels.
- [ ] Alerting/runbook docs define thresholds for oldest unpublished age, admission closed/rejections, pending age, Redis unavailable, stream nearing trim horizon, and publisher disabled unexpectedly.
- [ ] Tests cover healthy, disabled, Redis unavailable, outbox backlog, admission closed, pending-entry, and stale-pending recovery states."
Fortemi/fortemi#597,https://git.integrolabs.net/Fortemi/fortemi/issues/597,open,feat(db): expose note content hash for incremental embedding,P2,,P2: Medium; area/search; documentation; effort/medium; infrastructure; new-feature; testing,,,2026-06-22T22:12:40Z,75,7,G,execute,"Resolve default-mode, outbox backpressure and payload-minimization decisions; implement durable publisher/consumer semantics with bounded retention, replay and auth tests.",,read,stale-60d; no-milestone; no-assignee,6,https://git.integrolabs.net/Fortemi/fortemi/issues/597,evidence/Fortemi--fortemi-issues.json,Server realtime and jobs maintainers,Phase 5 after policy decisions,"Resolve default-mode, outbox backpressure and payload-minimization decisions; implement durable publisher/consumer semantics with bounded retention, replay and auth tests. Map every original acceptance criterion to the exact delivered artifact or an explicit supersession decision.",2026-09-07,First qualified stable opportunity after prerequisites; expedited customer/security patch when justified. No phase-date promise.,audit-355,"- [ ] Decide whether incremental embedding compares against `note_original.hash`, revised-current content hash, or both, and document that choice.
- [ ] Add repository/query support to fetch the selected source hash with note content for embedding jobs.
- [ ] If revised content is the embedding source, add or compute a stable hash for `note_revised_current.content` without duplicating existing original-content hash semantics.
- [ ] Preserve existing note create/update hash behavior in `crates/matric-db/src/notes.rs`.
- [ ] Add tests proving hash changes when the embedded source text changes and remains stable when unrelated note metadata changes.
- [ ] Expose a metric or trace field for embedding skip eligibility, but leave actual skipping to #598."
Fortemi/fortemi#598,https://git.integrolabs.net/Fortemi/fortemi/issues/598,open,feat(jobs): incremental embedding freshness checks,P2,,P2: Medium; area/search; blocked; documentation; effort/medium; enhancement; infrastructure; jobs; security; testing,,,2026-07-20T19:13:40Z,48,8,G,retain-gated,"Resolve default-mode, outbox backpressure and payload-minimization decisions; implement durable publisher/consumer semantics with bounded retention, replay and auth tests.",Fortemi/fortemi#597,read,no-milestone; no-assignee,8,https://git.integrolabs.net/Fortemi/fortemi/issues/598,evidence/Fortemi--fortemi-issues.json,Server realtime and jobs maintainers,Phase 5 after policy decisions,"Resolve default-mode, outbox backpressure and payload-minimization decisions; implement durable publisher/consumer semantics with bounded retention, replay and auth tests. Map every original acceptance criterion to the exact delivered artifact or an explicit supersession decision.",2026-09-07,First qualified stable opportunity after prerequisites; expedited customer/security patch when justified. No phase-date promise.,audit-355,"- [ ] Embedding storage records the source content hash used for each embedding/chunk.
- [ ] Freshness check includes source hash plus embedding model/config identity, embedding set id, chunking strategy/version, and truncate dimension where applicable.
- [ ] New notes or notes without embeddings are always processed.
- [ ] Changed source content causes re-embedding.
- [ ] Unchanged content with changed embedding config/model/chunking still causes re-embedding.
- [ ] Manual/bulk reprocess bypasses freshness checks and refreshes all targeted notes.
- [ ] Metrics distinguish computed, skipped-unchanged, and forced-reprocess counts.
- [ ] Tests cover unchanged note skip, changed note process, config-change process, and bulk bypass."
Fortemi/fortemi#599,https://git.integrolabs.net/Fortemi/fortemi/issues/599,open,feat(jobs): incremental graph linking from embedding freshness events,P2,,P2: Medium; blocked; documentation; effort/medium; enhancement; infrastructure; jobs; security; testing,,,2026-06-22T23:22:41Z,75,5,G,retain-gated,"Resolve default-mode, outbox backpressure and payload-minimization decisions; implement durable publisher/consumer semantics with bounded retention, replay and auth tests.",,read,stale-60d; no-milestone; no-assignee; blocked-label-without-open-native-edge,7,https://git.integrolabs.net/Fortemi/fortemi/issues/599,evidence/Fortemi--fortemi-issues.json,Server realtime and jobs maintainers,Phase 5 after policy decisions,"Resolve default-mode, outbox backpressure and payload-minimization decisions; implement durable publisher/consumer semantics with bounded retention, replay and auth tests. Map every original acceptance criterion to the exact delivered artifact or an explicit supersession decision.",2026-09-07,First qualified stable opportunity after prerequisites; expedited customer/security patch when justified. No phase-date promise.,audit-355,"- [ ] Define the event or job signal emitted after a note embedding is freshly written.
- [ ] For changed notes, recompute direct similarity candidates using pgvector/embedding queries rather than a full O(N^2) graph rebuild.
- [ ] Update/create/remove direct note links for affected notes with the same threshold/config semantics used by the batch linking path.
- [ ] Do not attempt incremental SNN/PFNET correctness unless a subgraph algorithm and validation metric are accepted; otherwise queue or schedule periodic full graph maintenance.
- [ ] Full `POST /api/v1/graph/maintenance` remains available and documented as the rebuild/reconciliation path.
- [ ] Metrics distinguish affected-note recompute counts, candidate counts, links updated/removed, and full rebuilds.
- [ ] Tests compare incremental updates against a small full-rebuild fixture for equivalence on direct links."
Fortemi/fortemi#600,https://git.integrolabs.net/Fortemi/fortemi/issues/600,open,feat(inference): adaptive admission controller for chat + jobs using memory telemetry,P2,,P2: Medium; area/rest-api; documentation; effort/medium; enhancement; infrastructure; jobs; optimization; security; testing,,,2026-06-22T22:37:37Z,75,5,G,execute,"Resolve default-mode, outbox backpressure and payload-minimization decisions; implement durable publisher/consumer semantics with bounded retention, replay and auth tests.",,read,stale-60d; no-milestone; no-assignee,11,https://git.integrolabs.net/Fortemi/fortemi/issues/600,evidence/Fortemi--fortemi-issues.json,Server realtime and jobs maintainers,Phase 5 after policy decisions,"Resolve default-mode, outbox backpressure and payload-minimization decisions; implement durable publisher/consumer semantics with bounded retention, replay and auth tests. Map every original acceptance criterion to the exact delivered artifact or an explicit supersession decision.",2026-09-07,First qualified stable opportunity after prerequisites; expedited customer/security patch when justified. No phase-date promise.,audit-355,"- [ ] Define an `InferenceAdmission` or equivalent abstraction with fixed-semaphore fallback.
- [ ] Chat and job workers call the same admission layer instead of maintaining unrelated concurrency gates.
- [ ] Job/request classes have configurable estimated memory budgets, including context-length/KV-cache allowance where applicable.
- [ ] Existing tiered job draining and model unload behavior remain supported; the admission layer coordinates with them rather than bypassing them.
- [ ] Ollama-backed admission can use loaded-model/concurrency signals where available and remains safe when Ollama does not expose exact free VRAM.
- [ ] NVIDIA environments may use DCGM/nvidia-smi metrics, but non-NVIDIA, Metal, ROCm, and CPU-only deployments still work with bounded fallback.
- [ ] Telemetry freshness is explicit; stale telemetry falls back conservatively.
- [ ] Admission denies, queues, or defers work when estimated memory pressure exceeds policy; it must not rely on optimistic overcommit by default.
- [ ] Metrics include granted, denied/rejected, queued/deferred, fallback mode, telemetry age, estimated memory requested, and observed memory utilization when available.
- [ ] Tests cover telemetry unavailable, telemetry stale, single large job, many small jobs, chat non-blocking behavior, GPU tier drains, and fallback behavior.
- [ ] Docs update `docs/content/hardware-planning.md` or inference docs with how to tune fixed vs adaptive admission."
Fortemi/fortemi#601,https://git.integrolabs.net/Fortemi/fortemi/issues/601,open,feat(jobs): consume note events to enqueue extraction work,P2,,P2: Medium; blocked; documentation; effort/medium; infrastructure; jobs; new-feature; security; testing,,,2026-06-22T23:23:00Z,75,8,G,retain-gated,"Resolve default-mode, outbox backpressure and payload-minimization decisions; implement durable publisher/consumer semantics with bounded retention, replay and auth tests.",Fortemi/fortemi#593,read,stale-60d; no-milestone; no-assignee,7,https://git.integrolabs.net/Fortemi/fortemi/issues/601,evidence/Fortemi--fortemi-issues.json,Server realtime and jobs maintainers,Phase 5 after policy decisions,"Resolve default-mode, outbox backpressure and payload-minimization decisions; implement durable publisher/consumer semantics with bounded retention, replay and auth tests. Map every original acceptance criterion to the exact delivered artifact or an explicit supersession decision.",2026-09-07,First qualified stable opportunity after prerequisites; expedited customer/security patch when justified. No phase-date promise.,audit-355,"- [ ] Consumer subscribes to the accepted Redis Stream/outbox event source for `note.created` and `note.updated`.
- [ ] Consumer enqueues extraction jobs with idempotency/dedup keys so replayed events do not create unbounded duplicate work.
- [ ] High tier can use shorter delay / higher priority, but processing remains asynchronous.
- [ ] Lower tiers preserve existing batch/manual extraction behavior.
- [ ] Coalescing policy delegates to #602 or shares its implementation.
- [ ] Consumer handles pending entries/retry/resume according to Redis Stream consumer-group semantics.
- [ ] Metrics distinguish extraction trigger source, queued count, coalesced count, replayed event count, and enqueue failures."
